userId,firstName,lastName,gender,level
39.0,Walter,Frye,M,free
8.0,Kaylee,Summers,F,free
8.0,Kaylee,Summers,F,free
8.0,Kaylee,Summers,F,free
8.0,Kaylee,Summers,F,free
8.0,Kaylee,Summers,F,free
8.0,Kaylee,Summers,F,free
8.0,Kaylee,Summers,F,free
8.0,Kaylee,Summers,F,free
8.0,Kaylee,Summers,F,free
10.0,Sylvie,Cruz,F,free
26.0,Ryan,Smith,M,free
26.0,Ryan,Smith,M,free
26.0,Ryan,Smith,M,free
101.0,Jayden,Fox,M,free
101.0,Jayden,Fox,M,free
83.0,Stefany,White,F,free
83.0,Stefany,White,F,free
83.0,Stefany,White,F,free
66.0,Kevin,Arellano,M,free
48.0,Marina,Sutton,F,free
86.0,Aiden,Hess,M,free
86.0,Aiden,Hess,M,free
17.0,Makinley,Jones,F,free
66.0,Kevin,Arellano,M,free
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
89.0,Kynnedi,Sanchez,F,free
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
89.0,Kynnedi,Sanchez,F,free
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
80.0,Tegan,Levine,F,free
80.0,Tegan,Levine,F,free
15.0,Lily,Koch,F,paid
44.0,Aleena,Kirby,F,paid
44.0,Aleena,Kirby,F,paid
80.0,Tegan,Levine,F,free
15.0,Lily,Koch,F,paid
88.0,Mohammad,Rodriguez,M,free
44.0,Aleena,Kirby,F,paid
15.0,Lily,Koch,F,paid
80.0,Tegan,Levine,F,free
44.0,Aleena,Kirby,F,paid
15.0,Lily,Koch,F,paid
44.0,Aleena,Kirby,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
44.0,Aleena,Kirby,F,paid
15.0,Lily,Koch,F,paid
44.0,Aleena,Kirby,F,paid
44.0,Aleena,Kirby,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
44.0,Aleena,Kirby,F,paid
44.0,Aleena,Kirby,F,paid
15.0,Lily,Koch,F,paid
44.0,Aleena,Kirby,F,paid
15.0,Lily,Koch,F,paid
49.0,Chloe,Cuevas,F,free
44.0,Aleena,Kirby,F,paid
15.0,Lily,Koch,F,paid
44.0,Aleena,Kirby,F,paid
49.0,Chloe,Cuevas,F,free
15.0,Lily,Koch,F,paid
44.0,Aleena,Kirby,F,paid
15.0,Lily,Koch,F,paid
44.0,Aleena,Kirby,F,paid
15.0,Lily,Koch,F,paid
44.0,Aleena,Kirby,F,paid
86.0,Aiden,Hess,M,free
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
15.0,Lily,Koch,F,paid
